" to your browser"," до вашого браузера",
""Company History"",""Історія компанії"",
""Parent"" signifies the parent table in which this row must be added,"""Батько"" означає батьківську таблицю, до якої потрібно додати цей рядок",
""Team Members"" or ""Management"",""Члени команди"" або ""Керівництво"",
""amended_from"" field must be present to do an amendment.,Поле ""amended_from"" має бути присутнім для внесення змін.,
""{0}"" is not a valid Google Sheets URL,""{0}"" не є дійсною URL-адресою Google Sheets,
#{0},#{0},
&copy; Frappe Technologies Pvt. Ltd. and contributors,Frappe Technologies Pvt. Ltd. та дописувачі,
&lt;head&gt; HTML,head&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},'У глобальному пошуку' не допускається для поля {0} типу {1},
'In Global Search' not allowed for type {0} in row {1},'In Global Search' не дозволено для типу {0} у рядку {1},
'In List View' is not allowed for field {0} of type {1},'In List View' не допускається для поля {0} типу {1},
'In List View' not allowed for type {0} in row {1},'In List View' не дозволено для типу {0} у рядку {1},
'Recipients' not specified,'Одержувачі' не вказано,
'{0}' is not a valid URL,'{0}' є недійсною URL-адресою,
'{0}' not allowed for type {1} in row {2},'{0}' не допускається для типу {1} в рядку {2},
(Mandatory),(Обов'язково),
** Failed: {0} to {1}: {2},** Не вдалося: {0} до {1}: {2},
**Currency** Master,**Валюта** Майстер,
+ Add / Remove Fields,+ Додавання/видалення полів,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - проект; 1 - подано; 2 - скасовано,
0 is highest,0 - найвищий показник,
1 = True & 0 = False,1 = True & 0 = False,
1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,"1 Валюта = [?] Дріб|||Наприклад, 1 долар США = 100 центів",
1 Day,1 день,
1 Google Calendar Event synced.,1 Синхронізовано подію з календаря Google.,
1 Report,1 Звіт,
1 comment,1 коментар,
1 day ago,1 день тому,
1 hour,1 година,
1 hour ago,1 годину тому,
1 minute ago,1 хвилину тому,
1 month ago,1 місяць тому,
1 of 2,1 з 2,
1 record will be exported,1 запис буде експортовано,
1 second ago,1 секунду тому,
1 week ago,1 тиждень тому,
1 year ago,1 рік тому,
2 hours ago,2 години тому,
